PSA_ID,Sub_Category,Title,PSAs Description,Source,Date,Format,Topic,Original_Language,URL,Translation_Swahili,Translation_Luo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Access to Education,Mass teacher recruitment,"[TSC Recruitment] Advertisement for 46,000 teaching positions across primary, junior secondary, and secondary schools with application deadline October 7, 2024",Recruitment notice,01/10/2024,Text,Education,English,https://www.kenyans.co.ke/news/104890-tsc-announces-46000-teaching-jobs-application-process-and-eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Access to Education,National examination results,"[Exam Results] 2024 KCSE results announced with 246,391 candidates achieving university entry grade C+ and above out of 965,501 total candidates",Results announcement,09/01/2025,Text,Education,English,https://www.kenyans.co.ke/news/107907-education-cs-julius-ogamba-releases-2024-kcse-results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Access to Education,School nutrition expansion,[School Feeding Scale-up] Target to increase school feeding beneficiaries from 1.9 million to over 10 million children by 2030,Strategic announcement,08/10/2024,Text,Education,English,https://gcnf.org/implementing-school-feeding-in-kenya-unlocking-scalability/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Access to Education,Free education policy,[Free Education] Government reinforcement of free primary education policy with elimination of all levies and charges in public schools,Policy reinforcement,15/01/2021,Text,Education,English,https://www.education.go.ke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Access to Education,Funding Higher Education,Education  CS Ezekiel Machogu says govt will no longer fund public universities and colleges urges them to generate  their own-sourced revenue to fund their operation,Tweeter ,11/05/2022,Image,Education,English,https://x.com/aomenya/status/1588890339267731456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Access to Education,De-funding Educatio,"The Auditor General is raising the alarm over the de-funding of education in Kenya. Nancy Gathungu says it threatens the future of Kenya's human capital. More than 163,000 students have been left without loans.",Tweeter ,7/15/2025,Text,Education,English,https://x.com/ntvkenya/status/1945191339034886594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Access to Education,KCPE Results,"George Magoha, CS, Education: All children will have a place in secondary school. By 2nd Dec, every child who sat KCPE 2019 will know what school they will join. Ksh. 8 Billion has been put to improve infrastructure in high school and primary school",Tweeter ,11/18/2019,Text,Education,English,https://x.com/citizentvkenya/status/1196397482214862850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Access to Education,Quality Education,"The Kenya Kwanza Government will bridge the current teacher shortage of 116,000 within two years, allocate sufficient resources to facilitate the implementation of quality education and strength day secondary schools to deepen access to quality education",Tweeter ,6/23/2022,Text,Education,English,https://x.com/WilliamsRuto/status/1539996585123250179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Access to Education,Transition of the 2019 KCPE candidates to secondary schools.,President Uhuru Kenyatta has given Government officials until end of February to ensure a 100 percent transition of the 2019 KCPE candidates to secondary school.,Tweeter ,1/28/2020,Text,Education,English,https://x.com/StateHouseKenya/status/1222211060045926402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Access to Education,Allocation of funds,Gov't releases Sh9.3b to fund the free education program; CS Magoha says Sh2.8b allocated to primary schools & Sh6.5b to secondary schools.,Citizen news,06/07/2021,Video,Education,English,https://x.com/citizentvkenya/status/1401833097327489026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Access to Education,Junior Secondary Hosted in Primary Schools,The government has directed that junior secondary schools be domiciled in the existing primary schools,Business Daily,12/01/2022,Text,Education,English,https://www.businessdailyafrica.com/bd/economy/state-directs-primary-schools-host-cbc-s-junior-secondary-4040036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Access to Education,Teacher Shortages for CBC/CBE Rollout,"Over 90,000 teacher deficit hampers curriculum implementation.",Business Daily,06/11/2021,Text,Education,English,https://www.businessdailyafrica.com/bd/economy/cbc-recruitment-teachers-hit-by-funding-shortfall-3433366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Access to Education,World bank Supports Education Reform,KSh?26 billion in support to boost CBC infrastructure transition.,Daily Nation,6/30/2022,Text,Education,English,https://nation.africa/kenya/blogs-opinion/opinion/world-bank-lauds-kenya-schooling-surprised--3864278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Access to Education,SHOFCOs Kibera Schools 100% Transition,"School records full transition to high school, expands vocational training.",TIME,11/09/2023,Text,Education,English,https://time.com/6333191/kennedy-odede-time100-impact-awards/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Access to Education,Photo Series Highlights Girls Education,Project documents education struggles and hopes for rural girls.,Vogue,9/22/2022,Text,Education,English,https://www.vogue.com/article/lee-ann-olwage-enlightens-the-disparity-of-girls-education-in-kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Access to Education,Australia Funding,Australias Premier announced a historic agreement to fully fund all WA public schools up to the Schooling Resource Standard by 2026.,official statement,7/16/2025,Text,Education,English,https://www2.pm.gov.au/media/landmark-agreement-signed-fully-fund-western-australian-public-schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Access to Education,Back-To-School Essentials,"This is a call for assistance after a mass shooting occurred at Sandy Hook Elementary School in Newtown, Connecticut, United States.",Wikipidia,7/20/2025,Text,Education,English,https://en.wikipedia.org/wiki/Sandy_Hook_Elementary_School_shooting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Access to Education,"Budget Allocated for 46,000 Intern Teacher Conversions","The National Assemblys Budget & Appropriations Committee allocated Sh17.6?billion for converting 46,000 intern teachers into permanent and pensionable roles",Official Statement,7/27/2025,Text,Education,English,https://cbc.co.ke/tsc-to-move-46000-intern-teachers-to-pnp-gets-sh17-6-billion-in-new-budget/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Access to Education,"First 26,000 Intern Teachers to Be Confirmed in July 2024","An earlier announcement stated that 26,000 intern teachers would have their posts regularized starting July 1, 2024, backed by an Sh8.3?billion allocation.",Official Statement,7/28/2025,Text,Education,English,https://cbc.co.ke/26000-tsc-intern-teachers-to-be-confirmed-in-july-2024/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Access to Education,Funding Higher Education  CS Ezekiel Machogu,Cabinet Secretary Ezekiel Machogu announced that the government will no longer fully fund public universities and colleges,X,7/29/2025,Text,Education,English,https://x.com/aomenya/status/1588890339267731456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Access to Education,Schools to Host CBC Junior Secondary in Primary Institutions,"Following the Education Reform Task Force report, the government directed that Grade 79 (Junior Secondary) classes are to be accommodated within existing public primary schools, excluding KPSEA as a placement exam.",Business Daily,08/06/2025,Text,Education,English,https://www.businessdailyafrica.com/bd/economy/state-directs-primary-schools-host-cbc-s-junior-secondary-4040036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Access to Education,"Over 20,000 Primary Schools Approved to Host JSS","Education Cabinet Secretary (CS) Prof George Magoha confirmed that 20,000+ primary schools have passed infrastructural and enrollment assessments to host Junior Secondary classes. Schools not meeting qualification criteria will act as feeder institutions within 2?km radius.",The Star,08/07/2025,Text,Education,English,https://www.the-star.co.ke/sports/athletics/2023-01-27-over-20000-primary-schools-to-host-junior-secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Access to Education,Association Advocates for JSS in Primary Schools to Cut Costs,The Kenya Private Schools Association (Bomet chapter) submitted to the Presidential Working Party that hosting Junior Secondary classes in primary schools would minimize infrastructure costs and reduce burden on parents.,The Star,08/08/2025,Text,Education,English,https://www.the-star.co.ke/sports/athletics/2022-11-08-association-wants-existing-primary-schools-to-host-junior-secondary-learners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Access to Education,570 Primary Schools in Muranga Approved for Hosting JSS,County Education officials in Muranga confirmed that 570 out of 647 primary schools were approved to host JSS following criteria-based assessment,press statement,08/09/2025,Text,Education,English,https://www.kenyanews.go.ke/570-schools-qualify-to-host-junior-secondary-schools/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Access to Education,Subsidized School Fees,Reduce barriers! Apply for government fee subsidies for low-income families.,Government website,15/10/2024,Text,Education,English,https://www.education.go.ke,Punguza vizuizi! Omba ruzuku ya ada ya serikali kwa familia za kipato cha chini.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Access to Education,Mobile Schools for Nomads,Education for all! Enroll in mobile schools in pastoralist regions.,News article,10/03/2022,Text,Education,English,https://www.nation.africa/kenya/news/nomadic-education-kenya-2022-03-10,Elimu kwa wote! Jiunge na shule za rununu katika maeneo ya wafugaji.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Access to Education,Disability Access,Support inclusion! Ensure schools have ramps and aids for disabled students.,News article,07/11/2024,Text,Education,English,https://www.kenyans.co.ke/news/106161-mother-candidate-sitting-kcse-while-oxygen-appeals-help,Saidia kujumuisha! Hakikisha shule zina rampu na vifaa vya wanafunzi wenye ulemavu.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Access to Education,Girls’ Education,Empower girls! Provide scholarships to keep girls in school.,News article,23/12/2020,Text,Education,English,https://www.hrw.org/news/2020/12/23/world-report-2021-kenya,Wape wasichana nguvu! Toa ufadhili wa masomo ili wasichana wabaki shuleni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Access to Education,Rural School Access,Bridge the gap! Build more schools in rural areas like Kitui.,News article,17/11/2024,Poster,Education,English,https://www.kenyans.co.ke/news/106441-kitui-residents-stage-protests-after-closure-company-leaving-several-jobless,Ziba pengo! Jenga shule zaidi katika maeneo ya vijijini kama Kitui.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Access to Education,Refugee School Enrollment,Welcome refugees! Enroll refugee children in local schools.,News article,24/07/2021,Text,Education,English,https://www.unicef.org/kenya/press-releases/after-covid-19-lets-reimagine-education-kenya,Karibisha wakimbizi! Wasajili watoto wakimbizi katika shule za mitaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Access to Education,Transport Subsidies,Get to school! Apply for transport subsidies for remote students.,Government website,05/10/2024,Text,Education,English,https://www.education.go.ke,Fika shuleni! Omba ruzuku ya usafiri kwa wanafunzi wa mbali.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Access to Education,Free Primary Education,Enroll now! Free primary education for all Kenyan children.,Government website,15/10/2024,Radio,Education,English,https://www.education.go.ke,Jiandikishe sasa! Elimu ya msingi bila malipo kwa watoto wote wa Kenya.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Access to Education,Adult Literacy Programs,Learn at any age! Join adult literacy classes in your county.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/raila-odinga-full-speech-2015-usiu-graduation,Jifunze katika umri wowote! Jiunge na madarasa ya kusoma na kuandika kwa watu wazima katika kaunti yako.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Access to Education,School Feeding Programs,Stay nourished! Enroll in schools with feeding programs.,News article,11/12/2024,Text,Education,English,https://www.kenyans.co.ke/featured/107275-unlock-secret-healthier-happier-life-christmas-these-flavorful-veggie-hacks,Kaa na lishe! Jiandikishe katika shule zenye mipango ya chakula.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Access to Education,Distance Learning,Study from home! Access online education platforms for rural students.,Government website,24/07/2024,Video,Education,English,https://www.education.go.ke,Jifunze kutoka nyumbani! Fikia mifumo ya elimu ya mtandaoni kwa wanafunzi wa vijijini.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Access to Education,Scholarships for Orphans,Support orphans! Apply for education scholarships in your county.,News article,23/12/2020,Text,Education,English,https://www.hrw.org/news/2020/12/23/world-report-2021-kenya,Saidia yatima! Omba ufadhili wa elimu katika kaunti yako.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Access to Education,Community Schools,Join community schools! Affordable education for low-income families.,News article,07/11/2024,Text,Education,English,https://www.kenyans.co.ke/news/106161-mother-candidate-sitting-kcse-while-oxygen-appeals-help,Jiunge na shule za jamii! Elimu ya bei nafuu kwa familia za kipato cha chini.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Access to Education,Mobile Libraries,Read anywhere! Access mobile libraries in rural areas.,News article,10/03/2022,Text,Education,English,https://www.nation.africa/kenya/news/nomadic-education-kenya-2022-03-10,Soma popote! Fikia maktaba za rununu katika maeneo ya vijijini.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Access to Education,Gender Equality in Schools,Promote equality! Ensure equal access for boys and girls.,News article,23/12/2020,Poster,Education,English,https://www.hrw.org/news/2020/12/23/world-report-2021-kenya,Kuza usawa! Hakikisha upatikanaji sawa kwa wavulana na wasichana.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Access to Education,School Infrastructure,Build better schools! Support infrastructure projects in ASAL regions.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/raila-odinga-full-speech-2015-usiu-graduation,Jenga shule bora! Saidia miradi ya miundombinu katika maeneo ya ASAL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Access to Education,Parental Support,"Parents, engage! Attend school meetings to support education access.",Government website,15/10/2024,Radio,Education,English,https://www.education.go.ke,"Wazazi, shirikiana! Hudhuria mikutano ya shule kusaidia upatikanaji wa elimu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Access to Education,Teacher Recruitment,More teachers! Support hiring in underserved regions.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/raila-odinga-full-speech-2015-usiu-graduation,Walimu zaidi! Saidia kuajiri katika maeneo yasiyohudumiwa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Access to Education,School Uniform Subsidies,Dress for success! Apply for uniform subsidies for needy students.,Government website,05/10/2024,Text,Education,English,https://www.education.go.ke,Vaa kwa mafanikio! Omba ruzuku ya jezi kwa wanafunzi wanaohitaji.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Access to Education,Education for Refugees,Open doors! Integrate refugee students into national schools.,News article,24/07/2021,Text,Education,English,https://www.unicef.org/kenya/press-releases/after-covid-19-lets-reimagine-education-kenya,Fungua milango! Jumuisha wanafunzi wakimbizi katika shule za kitaifa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Access to Education,Inclusive Education Funding,Fund inclusion! Support bursaries for students with special needs.,News article,07/11/2024,Text,Education,English,https://www.kenyans.co.ke/news/106161-mother-candidate-sitting-kcse-while-oxygen-appeals-help,Fadhili kujumuisha! Saidia bursari kwa wanafunzi wenye mahitaji ya pekee.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Civic Education,Teacher registration requirement,[TSC Registration] Teaching without TSC registration is illegal per Section 23 of TSC Act 2012 - all teachers must be properly registered,Legal notice,20/02/2025,Text,Education,English,https://www.tsc.go.ke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Civic Education,Gagging Journalist,"Education Chief Administrative Secretary Zac Kinuthia says journalists seeking to cover schools must seek clearance from the Ministry Of Education. Speaking in Mombasa, Kinuthia said journalists will not be allowed to enter schools freely and cover issues there",KTNNews,01/05/2021,Video,Education,English,https://x.com/KTNNewsKE/status/1346524567393730560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Civic Education,Senators Raise Concerns Over Readiness,Lawmakers warned of underpreparedness for Grade 9 rollout.,Eastleigh Voice,12/02/2024,Text,Education,English,https://eastleighvoice.co.ke/lucy-mumbi/94147/concerns-rise-over-cbc-curriculum-as-senators-question-readiness-for-grade-nine-transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Civic Education,Warning to heads of schools,The Kenya Nationa Examinations Council(KNEC) warns school  heads they will be held liable over inaccurate data on student registration.,Education news,3/24/2025,Text,Education,English,https://educationnews.co.ke/knec-warns-school-heads-they-will-be-held-liable-over-inaccurate-data-on-student-registration/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Civic Education,CBC Task Force Final Recommendations,Summary of recommendations for education reforms in Kenya,Education News Hub,7/17/2025,Text,Education,English,https://educationnewshub.co.ke/final-recommendations-of-the-cbc-education-reforms-task-force-official-summary/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Civic Education,Peer-led public service announcement,The Maneno Yetu study aimed to fill these gaps by providing descriptions of our PSA creation workshop process that was peer-driven from conception to completion.,journal,7/19/2025,Text,Education,English,https://pmc.ncbi.nlm.nih.gov/articles/PMC12261910/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Civic Education,U.S. Census Bureau Releases New 2020 Census Public Service Announcements,The U.S. Census Bureau today released a series of public service announcements (PSAs) to increase awareness and educate the public on the importance of the 2020 Census.,journal,7/22/2025,Text,Education,English,https://www.census.gov/newsroom/press-releases/2019/2020-psa.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Civic Education,Statement on Education Reform,This piece speaks to the improvement of education in the USA,Presidential statement,7/23/2025,Text,Education,English,https://www.presidency.ucsb.edu/documents/statement-education-reform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Civic Education,Statement by President William Ruto on Education Reform in Kenya,This piece speaks to the improvement of education in Kenya,Presidential statement,7/24/2025,Text,Education,English,https://www.president.go.ke/president-ruto-education-changes-to-take-effect-immediately/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Civic Education,Maldives  Presidential Address on Education Quality,Advancing education quality to build a sustainable nation in the Maldives,Press Conference,7/25/2025,Text,Education,English,https://presidency.gov.mv/Press/Article/33043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Civic Education,India  President Pranab Mukherjee on Quality Education,The President of India has underlined the importance of quality education starting from primary to post graduate level and necessity of women education for overall socio economic progress.,Presidential statement,7/26/2025,Text,Education,English,https://www.presidentofindia.gov.in/pranab-mukherjee/press_releases/president-underlines-importance-quality-education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Civic Education,Private Partnerships for Sustainability  Education PPP Initiative,The government launched a Public-Private Partnership (PPP) program enabling universities to collaborate with industry for facility upgrades and co-fund joint research efforts,official statement,7/30/2025,Text,Education,English,https://www.kenyaeducation.go.ke/ppp-university-initiative-2023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Civic Education,Ministry of Education Media Access Policy,Education Chief Administrative Secretary Zac Kinuthia announced that journalists seeking to cover school-related stories must now obtain prior clearance from the Ministry of Education.,"X, KTN News",7/31/2025,Video,Education,English,https://x.com/KTNNewsKE/status/1346524567393730560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Civic Education,Anti-Corruption in Schools,Fight corruption! Teach students to report graft in education.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/how-kenya-lost-sh667-billion-one-year,Pambana na ufisadi! Fundisha wanafunzi kuripoti ufisadi katika elimu.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Civic Education,Youth Civic Participation,Get involved! Join school clubs to learn about governance.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/raila-odinga-full-speech-2015-usiu-graduation,Shirikiana! Jiunge na vilabu vya shule kujifunza kuhusu utawala.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Civic Education,Voter Education,Your vote counts! Learn about elections in school programs.,Government website,15/10/2024,Text,Education,English,https://www.iebc.or.ke,Kura yako inahesabika! Jifunze kuhusu uchaguzi katika programu za shule.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Civic Education,Peacebuilding in Schools,Promote peace! Join school peace clubs in conflict zones.,News article,26/06/2024,Poster,Education,English,https://www.aljazeera.com/news/2025/6/26/at-least-eight-killed-in-deadly-kenya-protests-what-we-know,Kuza amani! Jiunge na vilabu vya amani shuleni katika maeneo ya migogoro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Civic Education,Anti-Bribery Campaign,Say no to bribes! Report corrupt practices to EACC.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/how-kenya-lost-sh667-billion-one-year,Sema hapana kwa rushwa! Ripoti tabia za ufisadi kwa EACC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Civic Education,Student Leadership,Lead the way! Participate in school leadership elections.,Government website,15/10/2024,Text,Education,English,https://www.education.go.ke,Ongoza njia! Shiriki katika uchaguzi wa uongozi wa shule.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Civic Education,Community Engagement,Give back! Join community service programs in schools.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/kenyan-youth-benefit-sh4557-million-coca-cola-investment,Rudisha jamii! Jiunge na programu za huduma za jamii shuleni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Civic Education,Constitutional Awareness,Know your rights! Learn about the Kenyan Constitution in school.,Government website,15/10/2024,Text,Education,English,https://www.education.go.ke,Jua haki zako! Jifunze kuhusu Katiba ya Kenya shuleni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Civic Education,Anti-Corruption Reporting,Be vigilant! Report school fee fraud to authorities.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/how-kenya-lost-sh667-billion-one-year,Kaa macho! Ripoti udanganyifu wa ada ya shule kwa mamlaka.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Civic Education,Environmental Responsibility,Protect our planet! Join school environmental clubs.,News article,19/10/2024,Poster,Education,English,https://www.kenyans.co.ke/news/105504-ps-mwangi-directs-mining-firms-draft-environment-restoration-plans-present-them,Linda sayari yetu! Jiunge na vilabu vya mazingira shuleni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Civic Education,Youth Empowerment,Shape your future! Engage in youth civic forums.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/kenyan-youth-benefit-sh4557-million-coca-cola-investment,Unda mustakabali wako! Shiriki katika mikutano ya vijana ya uraia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Civic Education,School Governance,Have a voice! Join school boards to influence policies.,Government website,15/10/2024,Text,Education,English,https://www.education.go.ke,Pata sauti! Jiunge na bodi za shule kuathiri sera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Civic Education,Anti-Corruption Education,Learn ethics! Include anti-corruption in school curricula.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/how-kenya-lost-sh667-billion-one-year,Jifunze maadili! Jumuisha masomo ya kupambana na ufisadi katika mitaala ya shule.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Civic Education,Conflict Resolution,Resolve disputes! Train students in peer mediation.,News article,26/06/2024,Text,Education,English,https://www.aljazeera.com/news/2025/6/26/at-least-eight-killed-in-deadly-kenya-protests-what-we-know,Suluhisha migogoro! Fundisha wanafunzi upatanishi wa rika.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Civic Education,Civic Duty Awareness,Do your part! Teach students about civic responsibilities.,Government website,15/10/2024,Text,Education,English,https://www.education.go.ke,Fanya wajibu wako! Fundisha wanafunzi kuhusu wajibu wa uraia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Civic Education,Transparency in Schools,Demand accountability! Ensure transparent school fund management.,News article,21/08/2018,Text,Education,English,https://www.kenyans.co.ke/news/how-kenya-lost-sh667-billion-one-year,Dai uwajibikaji! Hakikisha usimamizi wa fedha za shule ni wa wazi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Civic Education,IEBC launches nationwide voter registration,IEBC rolls out a campaign to boost voter registration in all counties.,IEBC,15/01/2023,Voter Education,Text,English,https://www.iebc.or.ke/,,,IEBC inatoa kampeni ya kuongeza usajili wa wapiga kura katika kaunti zote.,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Civic Education,EACC promotes county integrity programs,EACC sensitizes citizens on reporting corruption through county forums.,EACC,20/01/2023,Governance,Text,English,https://www.eacc.go.ke/,,,EACC inahimiza raia juu ya kuripoti ufisadi kupitia vikao vya kaunti.,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Civic Education,KNCHR holds human rights awareness drive,KNCHR conducts outreach to educate the public on constitutional rights.,KNCHR,27/01/2023,Human Rights,Text,English,https://www.knchr.org/,,,KNCHR inafanya uhamishaji kuelimisha umma juu ya haki za kikatiba.,,,,,,,,,,,,,,,,,,,,,,,,,,,
