English,Swahili Translations,Swahili Confidences,Luo Translations,Luo Confidences
"The Kenya Kwanza Government will bridge the current teacher shortage of 116,000 within two years, allocate sufficient resources to facilitate the implementation of quality education and strength day secondary schools to deepen access to quality education","Serikali ya kwanza ya Kenya itafunga upungufu wa walimu wa sasa wa 116,000 ndani ya miaka miwili, na kutenganisha rasilimali za kutosha ili kuwezesha utekelezaji wa elimu ya ubora na nguvu ya shule za sekondari za siku ili kuongeza upatikanaji wa elimu ya ubora",0.653048173,"Sirkal mokwongo mar Kenya biro tieko yuto mar jopuonj 116,000 e higni ariyo, kendo keto chenro mar tiego nyithindo e skul mag sekondar mag odiechieng' kodiechieng' mondo omi ji oyud somo maber",0.413428677
President Uhuru Kenyatta has given Government officials until end of February to ensure a 100 percent transition of the 2019 KCPE candidates to secondary school.,Rais Uhuru Kenyatta amewapa maafisa wa Serikali muda hadi mwisho wa Februari kuhakikisha kuwa wagombea wa KCPE wa 2019 watahamishwa kwa asilimia 100 kwenda shule ya sekondari.,0.646397494,Ker Uhuru Kenyatta osemiyo jotelo mag sirkal thuolo mar tieko dwe mar ariyo mondo gine ni jogo mabiro dhi e KCPE 2019 ibiro ket e skul mar sekondar.,0.445669954
Gov't releases Sh9.3b to fund the free education program; CS Magoha says Sh2.8b allocated to primary schools & Sh6.5b to secondary schools.,Serikali inatoa Sh9.3b ili kufadhili mpango wa elimu ya bure; CS Magoha anasema Sh2.8b imegawiwa shule za msingi na Sh6.5b kwa shule za sekondari.,0.684502231,Sirkal chiwo Sh9.3b mondo otigo gi pesa e siro chenro mar somo maonge chudo; CS Magoha wacho ni Sh2.8b osemiyo skunde matindo to Sh6.5b osemiyo skunde madongo.,0.591365136
The government has directed that junior secondary schools be domiciled in the existing primary schools,Serikali imeamuru shule za sekondari za msingi ziwekwe katika shule za msingi zilizopo,0.607699893,Sirkal osechiko ni skul mag sekondar obed e skul ma ne nitie chon,0.362200778
"Over 90,000 teacher deficit hampers curriculum implementation.","Zaidi ya upungufu wa walimu 90,000 huzuia utekelezaji wa programu za masomo.",0.676926882,"Kwan mar jopuonj mokalo 90,000 ok nyal konyo e chopo chenro mag somo.",0.460865347
KSh?26 billion in support to boost CBC infrastructure transition.,KSh? bilioni 26 kwa msaada wa kuchochea mabadiliko ya miundombinu ya CBC.,0.645723982,Owete gi nyimine ma nigi lony e tij lendo biro yudo pesa ma romo bilion 26 mag Amerka.,0.276992632
"School records full transition to high school, expands vocational training.","Shule huweka rekodi kamili ya mabadiliko ya shule ya sekondari, kupanua mafunzo ya kitaaluma.",0.601208005,"Skundego nyiso lokruok mosetim e skul mar sekondar, kendo mano miyo tiegruok bedo mayot.",0.399541812
Project documents education struggles and hopes for rural girls.,Mradi huo unaonyesha mapambano ya elimu na matumaini ya wasichana wa mashambani.,0.70178633,Chenrono nyiso kaka nyiri modak e gweng'no kedo mondo gichop somo kendo gik ma gigeno.,0.42018583
AustraliaÂs Premier announced a historic agreement to fully fund all WA public schools up to the Schooling Resource Standard by 2026.,Waziri Mkuu wa Australia alitangaza makubaliano ya kihistoria ya kufadhili shule zote za umma za WA hadi kiwango cha rasilimali za shule kufikia 2026.,0.728419854,Jatend piny Australia nolando winjruok moro makende mar chiwo pesa ne skunde duto mag WA nyaka chop higa mar 2026.,0.436557401
"This is a call for assistance after a mass shooting occurred at Sandy Hook Elementary School in Newtown, Connecticut, United States.","Huu ni wito wa msaada baada ya risasi ya wingi kutokea katika Shule ya Msingi ya Sandy Hook huko Newtown, Connecticut, Marekani.",0.674005853,"Mani en kwayo mar konyo bang' ka ne bunde omonjo Sandy Hook Elementary School man Newtown, Connecticut, Amerka.",0.486688461
"The National AssemblyÂs Budget & Appropriations Committee allocated Sh17.6?billion for converting 46,000 intern teachers into permanent and pensionable roles","Bunge la Taifa la Bajeti na Malipo ya Kutoa Sh17.6 bilioni kwa ajili ya kubadilisha walimu wa mafunzo 46,000 katika kazi za kudumu na za kustaafu",0.474591393,"Bura mar Piny owacho mar Budget kod Chudo chiwo Sh17.6 bilion mag Shillings mondo olok jopuonj 46,000 obed tich mapile kendo ma ok giyudo rit",0.260384239
"An earlier announcement stated that 26,000 intern teachers would have their posts regularized starting July 1, 2024, backed by an Sh8.3?billion allocation.","Tangazo la awali lilisema kwamba walimu 26,000 wa mafunzo ya kitaaluma wangeweza kufanya kazi zao kuwa za kawaida kuanzia Julai 1, 2024, kwa msaada wa ugawaji wa Sh8.3 bilioni.",0.550542649,"Oganda mokwongo ne owacho ni jopuonj 26,000 ne dhi bedo gi thuolo mar tiyo tijegi manyien chakre Julai 1, 2024, ka giyudo pesa ma romo dola bilion 8.3.",0.409709343
Cabinet Secretary Ezekiel Machogu announced that the government will no longer fully fund public universities and colleges,Katibu wa Kabini Ezekiel Machogu alitangaza kwamba serikali haitawapa fedha kabisa vyuo vikuu na vyuo vikuu vya umma,0.590103628,"Ezekiel Machogu, ma en jagoro mar Kabini, nolando ni sirkal ok bi chiwo pesa ne yunivasiti duto",0.539250516
"Following the Education Reform Task Force report, the government directed that Grade 7Â9 (Junior Secondary) classes are to be accommodated within existing public primary schools, excluding KPSEA as a placement exam.","Kufuatia ripoti ya Tume ya Kazi ya Marekebisho ya Elimu, serikali iliamuru kwamba darasa 7Â-9 (Junior Secondary) lazima ziandikishwe katika shule za msingi za umma zilizopo, bila KPSEA kama mtihani wa nafasi.",0.64273401,"Kaluwore gi ripot mar Commission for the Reform of Education, sirkal ne owacho ni klas 7 nyaka 9 (Junior Secondary) ne nyaka ndikre e skunde mag piny mangima, maok ochuno ni nyaka ket penj mar KPSEA.",0.486371569
"Education Cabinet Secretary (CS) Prof George Magoha confirmed that 20,000+ primary schools have passed infrastructural and enrollment assessments to host Junior Secondary classes. Schools not meeting qualification criteria will act as feeder institutions within 2?km radius.","Katibu wa Baraza la Mafunzo (CS) Prof George Magoha alithibitisha kuwa shule 20,000+ za msingi zimepitisha tathmini za miundombinu na uandikishaji ili kukaribisha darasa la sekondari la Junior. Shule ambazo hazipati vigezo vya sifa zitafanya kazi kama taasisi za kulisha ndani ya mduara wa kilomita 2.",0.691027292,"Jatend Bura mar Puonjruok (CS) Prof George Magoha nowacho ni skunde 20,000 mag piny osetieko nono gik ma konyo e tiego skul kod joma dwaro dhi e skunde mamoko mondo girwak skunde matindo.",0.356240622
The Kenya Private Schools Association (Bomet chapter) submitted to the Presidential Working Party that hosting Junior Secondary classes in primary schools would minimize infrastructure costs and reduce burden on parents.,Chama cha Shule za Kibinafsi za Kenya (Sura ya Bomet) kiliwasilisha kwa Kikundi cha Kazi cha Rais kwamba kuwa na darasa la Junior Secondary katika shule za msingi kungepunguza gharama za miundombinu na kupunguza mzigo kwa wazazi.,0.744307909,Riwruok mar Kenya Association of Private Schools (Bomet) ne onyiso Riwruok mar Tich mar Jatelo ni bedo gi klas mar Junior Secondary e skunde matindo ne dhi miyo jonyuol kik chul pesa mang'eny e wi gik mochuno e ngima.,0.457988589
County Education officials in MurangÂa confirmed that 570 out of 647 primary schools were approved to host JSS following criteria-based assessment,Maafisa wa Elimu ya Wilaya ya Murang'a walithibitisha kuwa shule 570 kati ya shule 647 za msingi ziliidhinishwa kukaribisha JSS kufuatia tathmini ya msingi,0.665996052,Jotelo mag Puonjruok mar Murang'a County ne onyiso ni skul 570 kuom skunde 647 ma ne nie skul mokwongo ne oyie rwako JSS bang ' nono penj mar skul,0.39760468
Reduce barriers! Apply for government fee subsidies for low-income families.,Punguza vizuizi! Omba msaada wa serikali kwa familia zenye mapato ya chini.,0.617087934,Kwa sirkal mondo okonyi konyo joot ma nigi pesa matin.,0.515737299
Education for all! Enroll in mobile schools in pastoralist regions.,Elimu kwa wote! Jiandikishe katika shule za mkononi katika maeneo ya wachungaji.,0.593779298,Puonj ne Ji Duto!,0.531888717
Support inclusion! Ensure schools have ramps and aids for disabled students.,Kuunga mkono uingizaji! Hakikisha shule zina mabango na misaada kwa wanafunzi wenye ulemavu.,0.58750655,Riw lwedo chenro mar rwako nyithindo e skul!,0.347884501
Empower girls! Provide scholarships to keep girls in school.,"Wape wasichana nguvu, wape masomo ya kuwafundisha wasichana.",0.341366054,"Mi nyiri teko, kendo miygi puonj mag puonjo nyiri.",0.43802563
Bridge the gap! Build more schools in rural areas like Kitui.,Kufunga pengo hilo! Jenga shule zaidi katika maeneo ya mashambani kama Kitui.,0.583443991,"Mondo omi ogeng' chenrono, onego oger skunde momedore e gwenge ma ji odakie kaka Kitui.",0.415838797
Welcome refugees! Enroll refugee children in local schools.,Karibu wakimbizi! Waandikishe watoto wakimbizi katika shule za mitaa.,0.73223116,Warwaki e skul mar alwora!,0.269823287
Get to school! Apply for transport subsidies for remote students.,Nenda shuleni! Omba msaada wa usafiri kwa wanafunzi wa mbali.,0.596622174,"Dhi e skul, kendo ikri mondo iyud kony mar wuoth ne nyithindo man mabor.",0.449286798
Enroll now! Free primary education for all Kenyan children.,Jiandikishe sasa! Elimu ya msingi ya bure kwa watoto wote wa Kenya.,0.691933132,Somri sani! Nyithindo duto e piny Kenya yudo somo ma onge chudo.,0.564279599
Learn at any age! Join adult literacy classes in your county.,Jifunze ukiwa na umri wowote! Jiunge na madarasa ya kusoma na kuandika ya watu wazima katika jimbo lako.,0.683590404,Puonjri somo ka in jahigni adi!,0.418204501
Stay nourished! Enroll in schools with feeding programs.,Endelea kula! Jiandikishe katika shule zenye programu za kulisha.,0.574025948,Dhi nyime gi chiemo!,0.479199558
Study from home! Access online education platforms for rural students.,Jifunze kutoka nyumbani! Pata fursa za elimu ya mtandaoni kwa wanafunzi wa vijijini.,0.572761258,Puonjri e ot! Yud thuolo mag somo e Intanet ne jopuonjre modak e gwenge mosokore.,0.580982773
Support orphans! Apply for education scholarships in your county.,Kuunga mkono yatima! Omba scholarship ya elimu katika jimbo lako.,0.547662515,Kony nyithi kiye! Kwa mondo iyud thuolo mar dhi e skul e pinyu.,0.484701163
Join community schools! Affordable education for low-income families.,Jiunge na shule za jamii! Elimu ya bei nafuu kwa familia zenye mapato ya chini.,0.703226391,Dhi e skul mag sirkal! Puonj ma ok ochuno ne joot ma nigi pesa matin.,0.401201671
Read anywhere! Access mobile libraries in rural areas.,Soma popote! Fanya kazi kwenye maktaba za mkononi katika maeneo ya mashambani.,0.552089589,Som kamoro amora midhiye! Ti gi laibrari mag lwedo e gwenge mosokore.,0.517379075
Promote equality! Ensure equal access for boys and girls.,"Kuendeleza usawa, kuhakikisha usawa wa watoto wa kiume na wa kike.",0.612662933,"Timo gik moko e yo makare, kendo miyo nyithindo ma yawuowi gi mon obed maromre.",0.475930129
Build better schools! Support infrastructure projects in ASAL regions.,Kujenga shule bora! Kuunga mkono miradi ya miundombinu katika mikoa ya ASAL.,0.786506317,Gero skunde mabeyo! Tiyo gi chenro mag gedo e gwenge mag ASAL.,0.458680147
"Parents, engage! Attend school meetings to support education access.","Wazazi, washiriki! Hudhuria mikutano ya shule ili kutegemeza upatikanaji wa elimu.",0.639979211,"Jonyuol, riwuru lwedo! Dhiuru e chokruoge mag skul mondo omi uyud somo.",0.480830134
More teachers! Support hiring in underserved regions.,Walimu zaidi! Kuunga mkono kuajiri katika maeneo yasiyo na huduma.,0.521651912,Puonjruok e wi tije mag lendo e alwora ma ji ok tiye gi Joneno mag Jehova.,0.300609829
Dress for success! Apply for uniform subsidies for needy students.,Fanya maombi ya msaada wa aina moja kwa wanafunzi wenye uhitaji.,0.506672363,Lem mondo ikony jopuonjre mari e yo machalo kamano.,0.46675838
Open doors! Integrate refugee students into national schools.,Fungua milango! Kuunganisha wanafunzi wakimbizi katika shule za kitaifa.,0.712219845,Oyawuru dhoudi! Golo jopuonjre ma oringo thuchegi e skul mag piny mangima.,0.388728163
Fund inclusion! Support bursaries for students with special needs.,Ushirikiano wa fedha!,0.451252459,Riwruok mar pesa!,0.64446037
[TSC Registration] Teaching without TSC registration is illegal per Section 23 of TSC Act 2012 - all teachers must be properly registered,[Usajili wa TSC] Kufundisha bila usajili wa TSC ni kinyume cha sheria kulingana na Kifungu cha 23 cha Sheria ya TSC 2012 - walimu wote lazima waandikwe vizuri,0.754028345,[Kwan mar TSC] Puonjo maonge TSC en gima chik okwedo kaluwore gi Chik 23 mar TSC Law 2012 - jopuonj duto nyaka bed joma ondik maber,0.537043417
"Education Chief Administrative Secretary Zac Kinuthia says journalists seeking to cover schools must seek clearance from the Ministry Of Education. Speaking in Mombasa, Kinuthia said journalists will not be allowed to enter schools freely and cover issues there","Katibu Mkuu wa Utawala wa Elimu Zac Kinuthia anasema waandishi wa habari wanaotaka kufunika shule lazima waombe idhini kutoka kwa Wizara ya Elimu. Akizungumza huko Mombasa, Kinuthia alisema waandishi wa habari hawataruhusiwa kuingia shule kwa uhuru na kufunika masuala huko",0.709105569,"Jatend weche somo, Zac Kinuthia wacho ni jotim weche e skul madwaro ndiko weche e skul onego okwa thuolo mar somo e pinyno.",0.323536199
Lawmakers warned of underpreparedness for Grade 9 rollout.,Wanachama wa sheria walionya kuhusu kutojitayarisha kwa ajili ya kuanzishwa kwa darasa la 9.,0.515118714,Jotend sirkal nochiwo siem ni kik iketgi ne klas mar ochakore.,0.421826049
The Kenya Nationa Examinations Council(KNEC) warns school  heads they will be held liable over inaccurate data on student registration.,Baraza la mitihani ya kitaifa ya Kenya (KNEC) linaonya viongozi wa shule kwamba watakuwa na jukumu kwa habari ya data isiyo sahihi juu ya usajili wa wanafunzi.,0.565917742,Bura mar Kenya mar National Examinations Council (KNEC) chiwo siem ne jotend skul ni gibiro kawo ting ' mar chiwo weche maok kare e wi kwan mar jopuonjre.,0.534136016
Summary of recommendations for education reforms in Kenya,Muhtasari wa mapendekezo ya mageuzi ya elimu nchini Kenya,0.80964427,Weche ma ne oler e wi lokruok ma ne dhi timore e somo e piny Kenya,0.466486174
TheÂ Maneno YetuÂ study aimed to fill these gaps by providing descriptions of our PSA creation workshop process that was peer-driven from conception to completion.,Utafiti wa Maneno Yetu ulikuwa na lengo la kujaza mapengo haya kwa kutoa maelezo ya mchakato wetu wa PSA wa uundaji wa semina ambayo ilikuwa ya peer-drive kutoka utungaji hadi kukamilika.,0.574496802,Buk mar Wachwa mar Puonjruok ne dwaro tieko ywaruokgo kuom lero kaka PSA ne tiyo gi chenro mar loso seminar ma ne itimo gi ji duto chakre chueyo nyaka tieko.,0.345110585
The U.S. Census Bureau today released a series of public service announcements (PSAs) to increase awareness and educate the public on the importance of the 2020 Census.,Ofisi ya Idadi ya Watu ya Marekani leo ilitoa taarifa za huduma za umma (PSAs) ili kuongeza ufahamu na kuelimisha umma juu ya umuhimu wa Idadi ya Watu ya 2020.,0.683991793,Ofis mar U.S. Census Bureau (USC) ne ogolo weche mag sirkal mar sirkal (PSA) mondo okony ji ong'e kendo opuonj ji kuom gimomiyo 2020 en higa makende.,0.413591851
This piece speaks to the improvement of education in the USA,Hii makala inazungumzia juu ya kuboresha elimu katika Marekani,0.491159093,Sulani wuoyo kuom dongruok mar somo e piny Amerka,0.656488003
This piece speaks to the improvement of education in Kenya,Kifungu hiki kinazungumzia kuboresha elimu nchini Kenya,0.602149364,Sulani wuoyo kuom dongruok mar somo e piny Kenya,0.674266062
Advancing education quality to build a sustainable nation in the Maldives,Kuendeleza ubora wa elimu ili kujenga taifa lenye uendelevu katika Visiwa vya Maldives,0.688189621,Dhi nyime gi somo maber e chula mar Maldives mondo omi ogandano odhi nyime bedo gi ngima maber,0.46461663
The President of India has underlined the importance of quality education starting from primary to post graduate level and necessity of women education for overall socio economic progress.,Rais wa India amesisitiza umuhimu wa elimu ya ubora kuanzia kiwango cha msingi hadi cha baada ya kuhitimu na umuhimu wa elimu ya wanawake kwa maendeleo ya jumla ya kijamii na kiuchumi.,0.745018524,"Jatend piny India osemiyo duong ' mar somo maber chakre e tiegruok nyaka bang ' tieko skul, kendo osemiyo duong ' mar tiegruok mar mon e dongruok mar oganda koda mar ohala.",0.444701316
The government launched a Public-Private Partnership (PPP) program enabling universities to collaborate with industry for facility upgrades and co-fund joint research efforts,Serikali ilizindua mpango wa Ushirikiano wa Umma na Binafsi (PPP) ambao unawezesha vyuo vikuu kushirikiana na tasnia kwa kuboresha vifaa na kufadhiliana juhudi za utafiti wa pamoja,0.646393362,Sirkal nochako chenro mar Public and Private Partnership (PPP) ma miyo yunivasiti thuolo mar tiyo kanyachiel gi ohala kuom medo lony e gik ma gitiyogo kendo konyo e chulo pesa e timo nonro kanyachiel,0.413231392
Education Chief Administrative Secretary Zac Kinuthia announced that journalists seeking to cover school-related stories must now obtain prior clearance from the Ministry of Education.,Katibu Mkuu wa Utawala wa Elimu Zac Kinuthia alitangaza kwamba waandishi wa habari wanaotaka kuchapisha hadithi zinazohusiana na shule lazima sasa wapate idhini ya awali kutoka kwa Wizara ya Elimu.,0.756730383,"Jatend weche somo, Zac Kinuthia, nowacho ni jotim weche e skul ma dwaro goyo weche e skul nyaka yud rusa mar tiegruok mar tiegruok.",0.348702233
Fight corruption! Teach students to report graft in education.,Wapigie ufisadi! Wafundishe wanafunzi kuripoti ufisadi katika elimu.,0.674003157,Puonj jopuonjre mondo oket ketho e skul.,0.367457467
Get involved! Join school clubs to learn about governance.,Jiunge na vilabu vya shule ili ujifunze kuhusu utawala.,0.697280037,Bed achiel kuom riwruoge mag skul mondo ipuonjri weche mag sirkal.,0.562218158
Your vote counts! Learn about elections in school programs.,Soma kuhusu uchaguzi katika programu za shule.,0.634917241,Som weche motudore gi yiero e program mag skul.,0.50396804
Promote peace! Join school peace clubs in conflict zones.,Shirikiana na vilabu vya amani katika shule katika maeneo ya migogoro.,0.538853252,Bed e riwruok mar riwruok mar joma ohero kuwe e skul.,0.452799679
Say no to bribes! Report corrupt practices to EACC.,Amri kuhusu mazoea ya ufisadi kwa EACC.,0.471337914,Chik ma ne ochiwo ne EACC e wi timbe mag mibadhi.,0.501958298
Lead the way! Participate in school leadership elections.,"Tangu wakati huo, ni lazima ushiriki katika uchaguzi wa viongozi wa shule.",0.399431381,"Chakre kindeno, nyaka ibed gi thuolo mar yiero jotelo mag skul.",0.598089754
Give back! Join community service programs in schools.,Shiriki katika programu za utumishi wa jamii katika shule.,0.601613136,Tim chenro mag konyo ji e skul.,0.540181708
Know your rights! Learn about the Kenyan Constitution in school.,Jifunze kuhusu Katiba ya Kenya shuleni.,0.797648435,Puonjri e wi Chik mar Kenya e skul.,0.637676217
Be vigilant! Report school fee fraud to authorities.,"Kuwa macho, ripoti udanganyifu wa ada za shule kwa mamlaka.",0.543839025,"Bed motang', kendo nyis sirkal ni isando skul.",0.350581572
Protect our planet! Join school environmental clubs.,Linda sayari yetu!,0.652254537,Rit pinywani!,0.71502678
Shape your future! Engage in youth civic forums.,Fanya maendeleo ya wakati ujao!,0.341914642,Dhi nyime timo dongruok e kinde mabiro!,0.592349579
Have a voice! Join school boards to influence policies.,Jiunge na bodi za shule ili kuathiri sera.,0.665343918,Bed achiel kuom jotelo mag skul mondo ikonygi ng'eyo kaka ginyalo chiko weche siasa.,0.386030262
Learn ethics! Include anti-corruption in school curricula.,Jifunze maadili!,0.460119298,Puonjri bedo gi timbe mabeyo!,0.783737576
Resolve disputes! Train students in peer mediation.,Suluhisha mizozo!,0.527162341,Losuru ywaruok manie kindu!,0.621280573
Do your part! Teach students about civic responsibilities.,Wafundishe wanafunzi wajibu wa kiraia.,0.698832982,Puonj jopuonjre mondo obed gi timbe manyiso luor.,0.358988254
Demand accountability! Ensure transparent school fund management.,Tumia uwazi wa usimamizi wa fedha za shule.,0.358318847,Ti gi weche duto ma isomo e skul e yo makare.,0.351449025
IEBC rolls out a campaign to boost voter registration in all counties.,IEBC inazindua kampeni ya kuongeza usajili wa wapiga kura katika wilaya zote.,0.760441132,IEBC chako kampen mar medo kwan mar joma biro yiero e gwenge duto.,0.543304831
